run_id,loss,beta,sigma,lr,batch_size,seed,num_steps,final_mae,final_v_w_norm,v_w_norm_true,best_mae,best_step,best_v_w_norm,hjb_rmse,elapsed_sec
sig0.05_lr0.002_B1024_beta_dtd_beta0.25_s2,beta_dtd,0.25,0.05,0.002,1024,2,15000,8.29466829487297,557.7222900390625,732.4525030772962,5.03574207953921,14200,572.2465209960938,1.4509002384276783,105.11779999732971
sig0.05_lr0.002_B1024_beta_dtd_beta0.5_s2,beta_dtd,0.5,0.05,0.002,1024,2,15000,9.837418703255539,513.6033935546875,732.4525030772962,6.000482431426169,14250,532.7807006835938,1.5335962164881431,104.27525877952576
sig0.05_lr0.002_B1024_beta_dtd_beta0.75_s2,beta_dtd,0.75,0.05,0.002,1024,2,15000,14.505122481828245,447.2695007324219,732.4525030772962,9.560420657622542,14250,481.86181640625,2.1682254554696616,106.98228192329407
sig0.05_lr0.002_B4096_td_beta0_s0,td,0.0,0.05,0.002,4096,0,15000,10.373851426532223,678.6740112304688,732.4525030772962,3.351229412618383,12200,630.9320068359375,1.3562479156734142,303.5179798603058
sig0.05_lr0.002_B4096_td_beta0_s1,td,0.0,0.05,0.002,4096,1,15000,7.976377552557086,691.0208740234375,732.4525030772962,3.6628616992587073,12850,614.2241821289062,1.043956257760353,292.6373019218445
sig0.05_lr0.002_B4096_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.05,0.002,4096,0,15000,9.98907168715234,664.1734008789062,732.4525030772962,3.2279131484591983,12200,624.5949096679688,1.3378602157617692,392.3617157936096
sig0.05_lr0.002_B4096_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.05,0.002,4096,0,15000,9.819664758136227,636.0416870117188,732.4525030772962,3.320349778932419,12200,612.7586059570312,1.3346926465806623,391.4249768257141
sig0.05_lr0.002_B4096_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.05,0.002,4096,0,15000,9.551767550479049,573.2960815429688,732.4525030772962,3.9661154671488053,11700,588.1214599609375,1.4330416771334906,387.8788459300995
sig0.05_lr0.002_B4096_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.05,0.002,4096,0,15000,13.002156542587631,498.3774719238281,732.4525030772962,8.312741522594838,11700,512.4993896484375,2.2087374513870457,385.3441379070282
sig0.05_lr0.002_B4096_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.05,0.002,4096,1,15000,8.557279697482059,676.0722045898438,732.4525030772962,3.8604107524479105,14800,632.45947265625,1.0492951572503675,387.91820526123047
