run_id,loss,beta,sigma,lr,batch_size,seed,num_steps,final_mae,final_v_w_norm,v_w_norm_true,best_mae,best_step,best_v_w_norm,hjb_rmse,elapsed_sec
sig0.2_lr0.0005_B256_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.2,0.0005,256,1,15000,0.4415891118349654,nan,nan,0.2646563199449782,12450,nan,nan,183.69020318984985
sig0.2_lr0.0005_B256_beta_dtd_beta0.1_s2,beta_dtd,0.1,0.2,0.0005,256,2,15000,0.22193205278181535,nan,nan,0.09306509658283682,14000,nan,nan,181.06488943099976
sig0.2_lr0.0005_B256_beta_dtd_beta0.25_s2,beta_dtd,0.25,0.2,0.0005,256,2,15000,0.16267965545373886,nan,nan,0.08929626884099741,14000,nan,nan,187.23330688476562
sig0.2_lr0.0005_B256_beta_dtd_beta0.5_s2,beta_dtd,0.5,0.2,0.0005,256,2,15000,0.18149193312765377,nan,nan,0.14322738228238627,14950,nan,nan,190.80708122253418
sig0.2_lr0.0005_B256_beta_dtd_beta0.75_s2,beta_dtd,0.75,0.2,0.0005,256,2,15000,0.2913822882620441,nan,nan,0.2854236383436942,10550,nan,nan,191.97079586982727
sig0.05_lr0.005_B4096_beta_dtd_beta0.75_s2,beta_dtd,0.75,0.05,0.005,4096,2,15000,0.4708622235189292,nan,nan,0.1324144908155742,1650,nan,nan,1041.043424129486
sig0.2_lr0.0005_B1024_td_beta0_s0,td,0.0,0.2,0.0005,1024,0,15000,0.15755780832043056,nan,nan,0.12045378119938857,12500,nan,nan,241.32604551315308
sig0.2_lr0.0005_B1024_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.2,0.0005,1024,0,15000,0.18998275814732102,nan,nan,0.13109111685302172,12500,nan,nan,360.2445628643036
sig0.2_lr0.0005_B1024_td_beta0_s1,td,0.0,0.2,0.0005,1024,1,15000,0.2554609199084681,nan,nan,0.11153260121140755,12550,nan,nan,244.67940068244934
sig0.2_lr0.0005_B1024_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.2,0.0005,1024,0,15000,0.2003852194170887,nan,nan,0.11986969121912487,6850,nan,nan,363.1779968738556
sig0.2_lr0.0005_B1024_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.2,0.0005,1024,0,15000,0.1900096154822084,nan,nan,0.11749309510803438,14650,nan,nan,366.60990142822266
sig0.2_lr0.0005_B1024_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.2,0.0005,1024,0,15000,0.3890922682937168,nan,nan,0.3026776034290125,9600,nan,nan,364.4370310306549
sig0.2_lr0.0005_B1024_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.2,0.0005,1024,1,15000,0.20227038026121125,nan,nan,0.07670520418990125,10300,nan,nan,362.21772599220276
sig0.2_lr0.0005_B1024_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.2,0.0005,1024,1,15000,0.1870492109101149,nan,nan,0.09202602585977802,13350,nan,nan,361.52816796302795
sig0.2_lr0.0005_B1024_td_beta0_s2,td,0.0,0.2,0.0005,1024,2,15000,0.17154605991509428,nan,nan,0.10149534754699766,14800,nan,nan,246.2484118938446
sig0.2_lr0.0005_B1024_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.2,0.0005,1024,1,15000,0.1994386284152466,nan,nan,0.13769064177072723,8400,nan,nan,366.71316957473755
sig0.2_lr0.0005_B1024_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.2,0.0005,1024,1,15000,0.32692217370055654,nan,nan,0.3015749000298395,9950,nan,nan,367.8330101966858
